,mur1,mur2,mur3,mur4,mur5,mur6,mur7,mur8,mur9,mur10,mur11,mur12,mur13,mur14,mur15,mur16,mur17,mur18,mur19,mur20,mur21,mur22,mur23,mur24,mur25,mur26,mur27,mur28,mur29,mur30,mur31,mur32
mur22,0.491628409,0.512692412,0.565352417,0.55779098,0.550364569,0.563056981,0.551444775,0.552119903,0.556980826,0.557520929,0.551309749,0.557385903,0.557250878,0.549149338,0.562111801,0.5515798,0.559546314,0.561301647,0.552119903,0.549959492,0.560086416,1,0.558061032,0.557520929,0.554820416,0.569538212,0.556305698,0.554280313,0.556575749,0.562111801,0.556170672,0.560221442
mur23,0.50715636,0.511747232,0.55468539,0.551984877,0.555090467,0.557250878,0.55563057,0.55468539,0.559816365,0.551174723,0.556575749,0.556170672,0.548744261,0.556035647,0.550094518,0.561166622,0.556170672,0.550094518,0.555765595,0.56278693,0.555900621,0.558061032,1,0.553065082,0.565487443,0.559141237,0.55779098,0.553065082,0.552930057,0.551174723,0.559276262,0.55873616
mur24,0.492033486,0.496624359,0.555225493,0.564407237,0.551309749,0.556980826,0.553740211,0.547123954,0.552795031,0.565757494,0.54847421,0.558601134,0.555225493,0.562246827,0.561706724,0.56494734,0.546178774,0.557385903,0.555765595,0.558196057,0.549959492,0.557520929,0.553065082,1,0.560356468,0.553470159,0.546988928,0.550634621,0.554010262,0.56710775,0.554955442,0.542803133
mur25,0.503915744,0.504455847,0.558466109,0.558466109,0.562651904,0.544018363,0.554820416,0.561976776,0.56089657,0.566837699,0.553065082,0.560761545,0.54847421,0.561706724,0.563327032,0.553065082,0.559681339,0.574399136,0.555225493,0.566567648,0.569133135,0.554820416,0.565487443,0.560356468,1,0.560221442,0.564272212,0.558466109,0.570483392,0.549824467,0.554145288,0.558466109
mur26,0.505941129,0.495409128,0.552660005,0.557520929,0.553875236,0.56278693,0.563867135,0.555360518,0.562111801,0.553200108,0.547258979,0.55873616,0.561301647,0.554010262,0.558061032,0.550499595,0.561706724,0.556170672,0.558871186,0.546718877,0.561976776,0.569538212,0.559141237,0.553470159,0.560221442,1,0.557385903,0.548879287,0.54847421,0.562381853,0.554550365,0.561031596
mur27,0.503240616,0.496759384,0.547529031,0.562381853,0.547394005,0.556035647,0.553335134,0.552660005,0.556710775,0.555090467,0.562921955,0.556845801,0.54536862,0.557250878,0.560761545,0.563462058,0.566567648,0.561301647,0.552389954,0.548879287,0.559276262,0.556305698,0.55779098,0.546988928,0.564272212,0.557385903,1,0.555900621,0.569808264,0.549689441,0.551309749,0.565352417
mur28,0.488792871,0.512557386,0.556575749,0.562246827,0.556980826,0.552119903,0.561031596,0.547394005,0.554145288,0.569268161,0.55252498,0.556170672,0.563327032,0.565487443,0.561436673,0.572238725,0.555090467,0.550364569,0.564137186,0.554955442,0.547799082,0.554280313,0.553065082,0.550634621,0.558466109,0.548879287,0.555900621,1,0.556170672,0.547394005,0.559546314,0.555765595
mur29,0.511342155,0.505941129,0.549149338,0.538617337,0.564407237,0.555225493,0.555765595,0.549689441,0.546178774,0.545638671,0.552119903,0.567917904,0.547529031,0.558871186,0.55779098,0.562381853,0.54442344,0.550499595,0.557250878,0.556170672,0.553605185,0.556575749,0.552930057,0.554010262,0.570483392,0.54847421,0.569808264,0.556170672,1,0.564542263,0.559411288,0.566162571
mur30,0.503915744,0.497974615,0.552254928,0.552254928,0.56589252,0.551039698,0.553740211,0.561166622,0.545773697,0.564677289,0.555495544,0.553470159,0.550904672,0.566567648,0.563056981,0.551174723,0.553200108,0.559816365,0.561976776,0.557115852,0.576154469,0.562111801,0.551174723,0.56710775,0.549824467,0.562381853,0.549689441,0.547394005,0.564542263,1,0.550904672,0.551174723
mur31,0.499594923,0.519848771,0.560356468,0.560086416,0.572373751,0.554820416,0.558331083,0.554145288,0.546853902,0.554955442,0.556845801,0.559411288,0.554415339,0.56278693,0.551984877,0.563056981,0.548609236,0.547394005,0.554415339,0.560356468,0.545098569,0.556170672,0.559276262,0.554955442,0.554145288,0.554550365,0.551309749,0.559546314,0.559411288,0.550904672,1,0.562516878
mur32,0.491223332,0.511747232,0.550364569,0.553605185,0.54941939,0.556170672,0.556710775,0.565757494,0.555225493,0.553065082,0.552795031,0.562921955,0.543073184,0.567647853,0.559276262,0.555765595,0.546178774,0.555495544,0.559546314,0.557115852,0.55779098,0.560221442,0.55873616,0.542803133,0.558466109,0.561031596,0.565352417,0.555765595,0.566162571,0.551174723,0.562516878,1
